job_title,experience_level,salary_in_usd,company_location
Data Scientist,MI,200000,US
Data Scientist,MI,170000,US
Data Engineer,MI,203000,US
Data Engineer,MI,123000,US
Data Analyst,EN,36865,US
Data Analyst,EN,35317,US
Data Engineer,SE,142620,US
Data Engineer,SE,128360,US
Data Developer,SE,138000,US
Data Developer,SE,86000,US
Data Analyst,MI,103500,US
Data Analyst,MI,76500,US
Data Scientist,MI,110400,US
Data Scientist,MI,81600,US
Data Scientist,SE,132250,US
Data Scientist,SE,97750,US
Data Scientist,SE,154000,US
Data Scientist,SE,138000,US
Data Scientist,MI,160000,US
Data Scientist,MI,140000,US
Data Scientist,SE,161700,US
Data Scientist,SE,117600,US
Data Scientist,SE,189175,US
Data Scientist,SE,104650,US
Data Scientist,SE,195700,US
Data Scientist,SE,142300,US
Data Manager,SE,203275,US
Data Manager,SE,112450,US
Data Integrity Analyst,EN,145537,US
Data Integrity Analyst,EN,119076,US
Data Analyst,SE,97983,US
Data Analyst,SE,76208,US
Data Analyst,EN,172400,US
Data Analyst,EN,82100,US
Data Analyst,SE,113100,US
Data Analyst,SE,99100,US
Data Analyst,SE,132200,US
Data Analyst,SE,115900,US
Data Engineer,SE,161881,US
Data Engineer,SE,92144,US
Data Engineer,SE,181000,US
Data Engineer,SE,144200,US
Data Engineer,SE,82278,GB
Data Engineer,SE,63291,GB
Data Engineer,SE,280600,US
Data Engineer,SE,204900,US
Data Engineer,SE,220700,US
Data Engineer,SE,175800,US
Data Engineer,SE,190570,US
Data Engineer,SE,117400,US
Data Engineer,SE,158100,US
Data Engineer,SE,85300,US
Data Engineer,MI,137000,US
Data Engineer,MI,60300,US
Data Engineer,SE,180000,US
Data Engineer,SE,90000,US
Data Engineer,SE,180000,US
Data Engineer,SE,90000,US
Data Engineer,SE,234000,US
Data Engineer,SE,90000,US
Data Analyst,EN,60000,US
Data Analyst,EN,40000,US
Data Analyst,SE,123700,US
Data Analyst,SE,68700,US
Data Analyst,SE,155000,US
Data Analyst,SE,80000,US
Data Analyst,SE,220000,US
Data Analyst,SE,96600,US
Data Scientist,MI,154700,US
Data Scientist,MI,86000,US
Data Scientist,MI,172000,US
Data Scientist,MI,75600,US
Data Scientist,EN,137000,US
Data Scientist,EN,60400,US
Data Scientist,MI,218030,US
Data Scientist,MI,114080,US
Data Scientist,SE,250000,US
Data Scientist,SE,110100,US
Data Scientist,SE,241500,US
Data Scientist,SE,144900,US
Data Scientist,SE,220000,US
Data Scientist,SE,110000,US
Data Integrator,SE,172000,GB
Data Integrator,SE,75600,GB
Data Analyst,EN,70000,US
Data Scientist,SE,197800,US
Data Scientist,SE,173100,US
Data Scientist,MI,132500,US
Data Scientist,MI,110000,US
Data Scientist,SE,99759,GB
Data Scientist,SE,86331,GB
Data Scientist,SE,219900,US
Data Scientist,SE,70907,US
Data Scientist,SE,134683,GB
Data Scientist,SE,110081,GB
Machine Learning Engineer,SE,253200,US
Machine Learning Engineer,SE,174500,US
Data Engineer,SE,253200,US
Data Engineer,SE,174500,US
Data Engineer,MI,146000,US
Data Engineer,MI,97400,US
Data Engineer,SE,187000,US
Data Engineer,SE,105747,US
Data Engineer,MI,150700,US
Data Engineer,MI,75300,US
Data Architect,SE,170000,US
Data Architect,SE,130000,US
Data Governance Manager,MI,205500,US
Data Governance Manager,MI,96500,US
Data Scientist,SE,254000,US
Data Scientist,SE,132000,US
Analytics Engineer,SE,205000,US
Analytics Engineer,SE,155000,US
Data Scientist,SE,100000,CA
Data Scientist,SE,85000,CA
Machine Learning Engineer,MI,230000,US
Machine Learning Engineer,MI,165000,US
Machine Learning Engineer,SE,266000,US
Machine Learning Engineer,SE,180000,US
Machine Learning Engineer,MI,257000,US
Machine Learning Engineer,MI,136000,US
Machine Learning Researcher,MI,225000,US
Machine Learning Engineer,MI,150000,US
Machine Learning Engineer,MI,135000,US
Machine Learning Scientist,SE,200000,US
Machine Learning Scientist,SE,150000,US
Machine Learning Engineer,SE,229772,US
Machine Learning Engineer,SE,176748,US
Analytics Lead,SE,200000,US
Analytics Lead,SE,140000,US
Data Scientist,SE,185000,US
Data Scientist,MI,156000,US
Data Scientist,MI,102400,US
Data Scientist,SE,161000,US
Data Scientist,SE,145000,US
Data Scientist,MI,174000,US
Data Scientist,MI,110000,US
Data Engineer,SE,160000,US
Data Engineer,SE,145000,US
Data Engineer,EX,280000,US
Data Engineer,EX,248000,US
Data Engineer,SE,89473,DE
Data Engineer,SE,78947,DE
Data Analyst,SE,155000,US
Data Analyst,SE,135000,US
Data Analyst,MI,135000,US
Data Analyst,MI,122000,US
Data Analyst,SE,187680,US
Data Analyst,SE,138000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Architect,SE,149000,US
Data Architect,SE,76000,US
Data Engineer,SE,160000,US
Data Engineer,SE,140000,US
Data Engineer,MI,70000,SE
Data Engineer,SE,296000,CA
Data Engineer,SE,159000,CA
Data Engineer,SE,263160,US
Data Engineer,MI,145000,US
Data Engineer,MI,90000,US
Data Engineer,MI,205600,US
Data Engineer,MI,118900,US
Data Engineer,MI,60759,GB
Data Engineer,MI,50632,GB
Data Engineer,EN,50778,LT
Data Engineer,EN,33852,LT
Data Developer,MI,46000,US
Data Developer,MI,42905,US
Machine Learning Engineer,SE,203500,US
Machine Learning Engineer,SE,162800,US
Machine Learning Engineer,SE,266500,US
Machine Learning Engineer,SE,136500,US
Machine Learning Engineer,SE,220000,US
Machine Learning Engineer,SE,170000,US
